id,created,source,amount,type
1,30.05.2020 22:43,PrivatBank,26.65,Buy
2,30.05.2020 22:43,PrivatBank,27.05,Sale
3,30.05.2020 22:43,PrivatBank,29.40,Buy
4,30.05.2020 22:43,PrivatBank,29.95,Sale
5,30.05.2020 22:43,PrivatBank,0.36,Buy
6,30.05.2020 22:43,PrivatBank,0.38,Sale
7,30.05.2020 23:01,MonoBank,26.77,Buy
8,30.05.2020 23:01,MonoBank,27.03,Sale
9,30.05.2020 23:01,MonoBank,29.50,Buy
10,30.05.2020 23:01,MonoBank,29.99,Sale
11,30.05.2020 23:01,MonoBank,0.33,Buy
12,30.05.2020 23:01,MonoBank,0.38,Sale
13,30.05.2020 23:01,MonoBank,1.09,Buy
14,30.05.2020 23:01,MonoBank,1.11,Sale
15,30.05.2020 23:02,MonoBank,29.50,Buy
16,30.05.2020 23:02,MonoBank,29.99,Sale
17,30.05.2020 23:02,MonoBank,1.09,Buy
18,30.05.2020 23:02,MonoBank,1.11,Sale
19,30.05.2020 23:20,Vkurse,26.80,Buy
20,30.05.2020 23:20,Vkurse,27.00,Sale
21,30.05.2020 23:20,Vkurse,29.50,Buy
22,30.05.2020 23:20,MonoBank,29.50,Buy
23,30.05.2020 23:20,MonoBank,29.99,Sale
24,30.05.2020 23:20,MonoBank,1.09,Buy
25,30.05.2020 23:20,MonoBank,1.11,Sale
26,30.05.2020 23:22,MonoBank,29.50,Buy
27,30.05.2020 23:22,MonoBank,29.99,Sale
28,30.05.2020 23:22,MonoBank,1.09,Buy
29,30.05.2020 23:22,MonoBank,1.11,Sale
30,30.05.2020 23:23,MonoBank,29.50,Buy
31,30.05.2020 23:23,MonoBank,29.99,Sale
32,30.05.2020 23:23,MonoBank,1.09,Buy
33,30.05.2020 23:23,MonoBank,1.11,Sale
34,30.05.2020 23:24,MonoBank,29.50,Buy
35,30.05.2020 23:24,MonoBank,29.99,Sale
36,30.05.2020 23:24,MonoBank,1.09,Buy
37,30.05.2020 23:24,MonoBank,1.11,Sale
38,30.05.2020 23:25,MonoBank,29.50,Buy
39,30.05.2020 23:25,MonoBank,29.99,Sale
40,30.05.2020 23:25,MonoBank,1.09,Buy
41,30.05.2020 23:25,MonoBank,1.11,Sale
42,30.05.2020 23:26,MonoBank,29.50,Buy
43,30.05.2020 23:26,MonoBank,29.99,Sale
44,30.05.2020 23:26,MonoBank,1.09,Buy
45,30.05.2020 23:26,MonoBank,1.11,Sale
46,30.05.2020 23:28,MonoBank,29.50,Buy
47,30.05.2020 23:28,MonoBank,29.99,Sale
48,30.05.2020 23:28,MonoBank,1.09,Buy
49,30.05.2020 23:28,MonoBank,1.11,Sale
50,30.05.2020 23:30,MonoBank,29.50,Buy
51,30.05.2020 23:30,MonoBank,29.99,Sale
52,30.05.2020 23:30,MonoBank,1.09,Buy
53,30.05.2020 23:30,MonoBank,1.11,Sale
54,30.05.2020 23:31,MonoBank,29.50,Buy
55,30.05.2020 23:31,MonoBank,29.99,Sale
56,30.05.2020 23:31,MonoBank,1.09,Buy
57,30.05.2020 23:31,MonoBank,1.11,Sale
58,30.05.2020 23:32,MonoBank,29.50,Buy
59,30.05.2020 23:32,MonoBank,29.99,Sale
60,30.05.2020 23:32,MonoBank,1.09,Buy
61,30.05.2020 23:32,MonoBank,1.11,Sale
62,30.05.2020 23:33,MonoBank,29.50,Buy
63,30.05.2020 23:33,MonoBank,29.99,Sale
64,30.05.2020 23:33,MonoBank,1.09,Buy
65,30.05.2020 23:33,MonoBank,1.11,Sale
66,30.05.2020 23:35,MonoBank,29.50,Buy
67,30.05.2020 23:35,MonoBank,29.99,Sale
68,30.05.2020 23:35,MonoBank,1.09,Buy
69,30.05.2020 23:35,MonoBank,1.11,Sale
70,31.05.2020 12:00,Vkurse,26.75,Buy
71,31.05.2020 12:00,Vkurse,26.95,Sale
72,31.05.2020 12:00,Vkurse,29.40,Buy
73,31.05.2020 12:00,MonoBank,29.50,Buy
74,31.05.2020 12:00,MonoBank,29.99,Sale
75,31.05.2020 12:00,MonoBank,1.09,Buy
76,31.05.2020 12:00,MonoBank,1.11,Sale
77,31.05.2020 12:00,ObmennikUa,26.85,Buy
78,31.05.2020 12:01,MonoBank,29.50,Buy
79,31.05.2020 12:01,MonoBank,29.99,Sale
80,31.05.2020 12:01,MonoBank,1.09,Buy
81,31.05.2020 12:01,MonoBank,1.11,Sale
82,31.05.2020 12:03,MonoBank,29.50,Buy
83,31.05.2020 12:03,MonoBank,29.99,Sale
84,31.05.2020 12:03,MonoBank,1.09,Buy
85,31.05.2020 12:03,MonoBank,1.11,Sale
86,31.05.2020 12:04,MonoBank,29.50,Buy
87,31.05.2020 12:04,MonoBank,29.99,Sale
88,31.05.2020 12:04,MonoBank,1.09,Buy
89,31.05.2020 12:04,MonoBank,1.11,Sale
90,31.05.2020 12:05,MonoBank,29.50,Buy
91,31.05.2020 12:05,MonoBank,29.99,Sale
92,31.05.2020 12:05,MonoBank,1.09,Buy
93,31.05.2020 12:05,MonoBank,1.11,Sale
94,31.05.2020 12:06,MonoBank,29.50,Buy
95,31.05.2020 12:06,MonoBank,29.99,Sale
96,31.05.2020 12:06,MonoBank,1.09,Buy
97,31.05.2020 12:06,MonoBank,1.11,Sale
98,31.05.2020 12:08,MonoBank,29.50,Buy
99,31.05.2020 12:08,MonoBank,29.99,Sale
100,31.05.2020 12:08,MonoBank,1.09,Buy
101,31.05.2020 12:08,MonoBank,1.11,Sale
102,31.05.2020 12:09,MonoBank,29.50,Buy
103,31.05.2020 12:09,MonoBank,29.99,Sale
104,31.05.2020 12:09,MonoBank,1.09,Buy
105,31.05.2020 12:09,MonoBank,1.11,Sale
106,31.05.2020 12:42,ObmennikUa,2.00,Buy
107,31.05.2020 12:42,ObmennikUa,6.00,Sale
108,31.05.2020 12:42,ObmennikUa,2.00,Buy
109,31.05.2020 12:42,ObmennikUa,6.00,Sale
110,31.05.2020 12:42,ObmennikUa,2.00,Buy
111,31.05.2020 12:42,ObmennikUa,2.00,Buy
112,31.05.2020 12:42,ObmennikUa,6.00,Sale
113,31.05.2020 12:42,ObmennikUa,6.00,Sale
114,31.05.2020 12:42,ObmennikUa,2.00,Buy
115,31.05.2020 12:42,ObmennikUa,2.00,Buy
116,31.05.2020 12:42,ObmennikUa,6.00,Sale
117,31.05.2020 12:42,ObmennikUa,6.00,Sale
118,31.05.2020 12:42,ObmennikUa,2.00,Buy
119,31.05.2020 12:42,ObmennikUa,6.00,Sale
120,31.05.2020 12:42,ObmennikUa,2.00,Buy
121,31.05.2020 12:42,ObmennikUa,6.00,Sale
122,31.05.2020 12:42,ObmennikUa,2.00,Buy
123,31.05.2020 12:42,ObmennikUa,6.00,Sale
124,31.05.2020 12:42,ObmennikUa,2.00,Buy
125,31.05.2020 12:42,ObmennikUa,6.00,Sale
126,31.05.2020 12:42,ObmennikUa,2.00,Buy
127,31.05.2020 12:42,ObmennikUa,6.00,Sale
128,31.05.2020 12:42,ObmennikUa,2.00,Buy
129,31.05.2020 12:42,ObmennikUa,6.00,Sale
130,31.05.2020 12:42,ObmennikUa,2.00,Buy
131,31.05.2020 12:42,ObmennikUa,6.00,Sale
132,31.05.2020 12:43,ObmennikUa,2.00,Buy
133,31.05.2020 12:43,ObmennikUa,6.00,Sale
134,31.05.2020 12:44,ObmennikUa,2.00,Buy
135,31.05.2020 12:44,ObmennikUa,6.00,Sale
136,31.05.2020 12:48,ObmennikUa,26.80,Buy
137,31.05.2020 12:49,ObmennikUa,26.80,Buy
138,31.05.2020 12:50,ObmennikUa,26.80,Buy
139,31.05.2020 12:51,ObmennikUa,26.80,Buy
140,31.05.2020 12:52,ObmennikUa,26.80,Buy
141,31.05.2020 12:53,ObmennikUa,26.80,Buy
142,31.05.2020 13:02,ObmennikUa,26.80,Buy
143,31.05.2020 13:02,ObmennikUa,26.80,Buy
144,31.05.2020 13:02,ObmennikUa,26.80,Buy
145,31.05.2020 13:02,ObmennikUa,26.80,Buy
146,31.05.2020 13:02,ObmennikUa,26.80,Buy
147,31.05.2020 13:02,ObmennikUa,26.80,Buy
148,31.05.2020 13:02,ObmennikUa,26.80,Buy
149,31.05.2020 13:02,ObmennikUa,26.80,Buy
150,31.05.2020 13:04,ObmennikUa,26.80,Buy
151,31.05.2020 13:04,ObmennikUa,26.80,Buy
152,31.05.2020 13:04,ObmennikUa,26.80,Buy
153,31.05.2020 13:04,ObmennikUa,26.80,Buy
154,31.05.2020 13:04,ObmennikUa,26.80,Buy
155,31.05.2020 13:04,ObmennikUa,26.80,Buy
156,31.05.2020 13:04,ObmennikUa,26.80,Buy
157,31.05.2020 13:04,ObmennikUa,26.80,Buy
158,31.05.2020 13:04,ObmennikUa,26.80,Buy
159,31.05.2020 13:04,ObmennikUa,26.80,Buy
160,31.05.2020 13:04,ObmennikUa,26.80,Buy
161,31.05.2020 13:04,ObmennikUa,26.80,Buy
162,31.05.2020 13:04,ObmennikUa,26.80,Buy
163,31.05.2020 13:04,ObmennikUa,26.80,Buy
164,31.05.2020 13:04,ObmennikUa,26.80,Buy
165,31.05.2020 13:04,ObmennikUa,26.80,Buy
166,31.05.2020 13:04,ObmennikUa,26.80,Buy
167,31.05.2020 13:04,ObmennikUa,26.80,Buy
168,31.05.2020 13:05,ObmennikUa,26.80,Buy
169,31.05.2020 13:05,ObmennikUa,26.80,Buy
170,31.05.2020 13:05,ObmennikUa,26.80,Buy
171,31.05.2020 13:05,ObmennikUa,26.80,Buy
172,31.05.2020 13:05,ObmennikUa,26.80,Buy
173,31.05.2020 13:05,ObmennikUa,26.80,Buy
174,31.05.2020 13:05,ObmennikUa,26.80,Buy
175,31.05.2020 13:05,ObmennikUa,26.80,Buy
176,31.05.2020 13:05,ObmennikUa,26.80,Buy
177,31.05.2020 13:05,ObmennikUa,26.80,Buy
178,31.05.2020 13:05,ObmennikUa,26.80,Buy
179,31.05.2020 13:05,ObmennikUa,26.80,Buy
180,31.05.2020 13:05,ObmennikUa,26.80,Buy
181,31.05.2020 13:05,ObmennikUa,26.80,Buy
182,31.05.2020 13:05,ObmennikUa,26.80,Buy
183,31.05.2020 13:05,ObmennikUa,26.80,Buy
184,31.05.2020 13:05,ObmennikUa,26.80,Buy
185,31.05.2020 13:05,ObmennikUa,26.80,Buy
186,31.05.2020 13:07,ObmennikUa,26.80,Buy
187,31.05.2020 13:07,ObmennikUa,26.80,Buy
188,31.05.2020 13:07,ObmennikUa,26.80,Buy
189,31.05.2020 13:07,ObmennikUa,26.80,Buy
190,31.05.2020 13:07,ObmennikUa,26.80,Buy
191,31.05.2020 13:07,ObmennikUa,26.80,Buy
192,31.05.2020 13:07,ObmennikUa,26.80,Buy
193,31.05.2020 13:07,ObmennikUa,26.80,Buy
194,31.05.2020 13:07,ObmennikUa,26.80,Buy
195,31.05.2020 13:07,ObmennikUa,26.80,Buy
196,31.05.2020 13:07,ObmennikUa,26.80,Buy
197,31.05.2020 13:07,ObmennikUa,26.80,Buy
198,31.05.2020 13:07,ObmennikUa,26.80,Buy
199,31.05.2020 13:07,ObmennikUa,26.80,Buy
200,31.05.2020 13:07,ObmennikUa,26.80,Buy
201,31.05.2020 13:07,ObmennikUa,26.80,Buy
202,31.05.2020 13:07,ObmennikUa,26.80,Buy
203,31.05.2020 13:07,ObmennikUa,26.80,Buy
204,31.05.2020 13:08,ObmennikUa,26.80,Buy
205,31.05.2020 13:08,ObmennikUa,26.80,Buy
206,31.05.2020 13:08,ObmennikUa,26.80,Buy
207,31.05.2020 13:08,ObmennikUa,26.80,Buy
208,31.05.2020 13:08,ObmennikUa,26.80,Buy
209,31.05.2020 13:08,ObmennikUa,26.80,Buy
210,31.05.2020 13:08,ObmennikUa,26.80,Buy
211,31.05.2020 13:08,ObmennikUa,26.80,Buy
212,31.05.2020 13:08,ObmennikUa,26.80,Buy
213,31.05.2020 13:08,ObmennikUa,26.80,Buy
214,31.05.2020 13:08,ObmennikUa,26.80,Buy
215,31.05.2020 13:08,ObmennikUa,26.80,Buy
216,31.05.2020 13:08,ObmennikUa,26.80,Buy
217,31.05.2020 13:08,ObmennikUa,26.80,Buy
218,31.05.2020 13:08,ObmennikUa,26.80,Buy
219,31.05.2020 13:08,ObmennikUa,26.80,Buy
220,31.05.2020 13:08,ObmennikUa,26.80,Buy
221,31.05.2020 13:08,ObmennikUa,26.80,Buy
222,31.05.2020 13:10,ObmennikUa,26.80,Buy
223,31.05.2020 13:10,ObmennikUa,26.80,Buy
224,31.05.2020 13:11,ObmennikUa,26.80,Buy
225,31.05.2020 13:14,ObmennikUa,26.80,Buy
226,31.05.2020 13:14,ObmennikUa,26.90,Sale
227,31.05.2020 13:14,ObmennikUa,29.40,Sale
228,31.05.2020 13:14,ObmennikUa,29.80,Buy
229,31.05.2020 13:15,ObmennikUa,26.80,Buy
230,31.05.2020 13:15,ObmennikUa,26.90,Sale
231,31.05.2020 13:15,ObmennikUa,29.40,Sale
232,31.05.2020 13:15,ObmennikUa,29.80,Buy
233,31.05.2020 13:16,ObmennikUa,26.80,Buy
234,31.05.2020 13:16,ObmennikUa,26.90,Sale
235,31.05.2020 13:16,ObmennikUa,29.40,Sale
236,31.05.2020 13:16,ObmennikUa,29.80,Buy
237,31.05.2020 13:17,ObmennikUa,26.80,Buy
238,31.05.2020 13:17,ObmennikUa,26.90,Sale
239,31.05.2020 13:17,ObmennikUa,29.40,Sale
240,31.05.2020 13:17,ObmennikUa,29.80,Buy
241,31.05.2020 13:18,ObmennikUa,26.80,Buy
242,31.05.2020 13:18,ObmennikUa,26.90,Sale
243,31.05.2020 13:18,ObmennikUa,29.40,Sale
244,31.05.2020 13:18,ObmennikUa,29.80,Buy
245,31.05.2020 13:19,ObmennikUa,26.80,Buy
246,31.05.2020 13:20,ObmennikUa,26.80,Buy
247,31.05.2020 13:21,ObmennikUa,26.80,Buy
248,31.05.2020 13:22,ObmennikUa,26.80,Buy
249,31.05.2020 13:23,ObmennikUa,26.80,Buy
250,31.05.2020 13:24,ObmennikUa,26.80,Buy
251,31.05.2020 13:28,ObmennikUa,26.80,Buy
252,31.05.2020 13:28,ObmennikUa,26.80,Buy
253,31.05.2020 13:28,ObmennikUa,26.80,Buy
254,31.05.2020 13:28,ObmennikUa,26.80,Buy
255,31.05.2020 13:28,ObmennikUa,26.80,Buy
256,31.05.2020 13:28,ObmennikUa,26.80,Buy
257,31.05.2020 13:28,ObmennikUa,26.80,Buy
258,31.05.2020 13:28,ObmennikUa,26.80,Buy
259,31.05.2020 13:28,ObmennikUa,26.80,Buy
260,31.05.2020 13:28,ObmennikUa,26.80,Buy
261,31.05.2020 13:28,ObmennikUa,26.80,Buy
262,31.05.2020 13:28,ObmennikUa,26.80,Buy
263,31.05.2020 13:28,ObmennikUa,26.80,Buy
264,31.05.2020 13:28,ObmennikUa,26.80,Buy
265,31.05.2020 13:28,ObmennikUa,26.80,Buy
266,31.05.2020 13:28,ObmennikUa,26.80,Buy
267,31.05.2020 13:28,ObmennikUa,26.80,Buy
268,31.05.2020 13:28,ObmennikUa,26.80,Buy
269,31.05.2020 13:28,ObmennikUa,26.80,Buy
270,31.05.2020 13:28,ObmennikUa,26.80,Buy
271,31.05.2020 13:28,ObmennikUa,26.80,Buy
272,31.05.2020 13:28,ObmennikUa,26.80,Buy
273,31.05.2020 13:28,ObmennikUa,26.80,Buy
274,31.05.2020 13:28,ObmennikUa,26.80,Buy
275,31.05.2020 13:28,ObmennikUa,26.80,Buy
276,31.05.2020 13:28,ObmennikUa,26.80,Buy
277,31.05.2020 13:28,ObmennikUa,26.80,Buy
278,31.05.2020 13:28,ObmennikUa,26.80,Buy
279,31.05.2020 13:28,ObmennikUa,26.80,Buy
280,31.05.2020 13:28,ObmennikUa,26.80,Buy
281,31.05.2020 13:28,ObmennikUa,26.80,Buy
282,31.05.2020 13:28,ObmennikUa,26.80,Buy
283,31.05.2020 13:28,ObmennikUa,26.80,Buy
284,31.05.2020 13:28,ObmennikUa,26.80,Buy
285,31.05.2020 13:28,ObmennikUa,26.80,Buy
286,31.05.2020 13:28,ObmennikUa,26.80,Buy
287,31.05.2020 13:28,ObmennikUa,26.80,Buy
288,31.05.2020 13:28,ObmennikUa,26.80,Buy
289,31.05.2020 13:28,ObmennikUa,26.80,Buy
290,31.05.2020 13:28,ObmennikUa,26.80,Buy
291,31.05.2020 13:28,ObmennikUa,26.80,Buy
292,31.05.2020 13:28,ObmennikUa,26.80,Buy
293,31.05.2020 13:28,ObmennikUa,26.80,Buy
294,31.05.2020 13:28,ObmennikUa,26.80,Buy
295,31.05.2020 13:28,ObmennikUa,26.80,Buy
296,31.05.2020 13:28,ObmennikUa,26.80,Buy
297,31.05.2020 13:28,ObmennikUa,26.80,Buy
298,31.05.2020 13:28,ObmennikUa,26.80,Buy
299,31.05.2020 13:28,ObmennikUa,26.80,Buy
300,31.05.2020 13:28,ObmennikUa,26.80,Buy
301,31.05.2020 13:28,ObmennikUa,26.80,Buy
302,31.05.2020 13:28,ObmennikUa,26.80,Buy
303,31.05.2020 13:28,ObmennikUa,26.80,Buy
304,31.05.2020 13:28,ObmennikUa,26.80,Buy
305,31.05.2020 13:28,ObmennikUa,26.80,Buy
306,31.05.2020 13:28,ObmennikUa,26.90,Sale
307,31.05.2020 13:28,ObmennikUa,26.80,Buy
308,31.05.2020 13:28,ObmennikUa,29.40,Sale
309,31.05.2020 13:28,ObmennikUa,26.80,Buy
310,31.05.2020 13:28,ObmennikUa,29.80,Buy
311,31.05.2020 13:28,ObmennikUa,26.90,Sale
312,31.05.2020 13:28,ObmennikUa,29.40,Sale
313,31.05.2020 13:28,ObmennikUa,26.80,Buy
314,31.05.2020 13:28,ObmennikUa,26.80,Buy
315,31.05.2020 13:28,ObmennikUa,26.80,Buy
316,31.05.2020 13:28,ObmennikUa,29.80,Buy
317,31.05.2020 13:28,ObmennikUa,26.80,Buy
318,31.05.2020 13:28,ObmennikUa,26.80,Buy
319,31.05.2020 13:28,ObmennikUa,26.80,Buy
320,31.05.2020 13:28,ObmennikUa,26.80,Buy
321,31.05.2020 13:28,ObmennikUa,26.80,Buy
322,31.05.2020 13:28,ObmennikUa,26.80,Buy
323,31.05.2020 13:28,ObmennikUa,26.80,Buy
324,31.05.2020 13:28,ObmennikUa,26.80,Buy
325,31.05.2020 13:28,ObmennikUa,26.80,Buy
326,31.05.2020 13:28,ObmennikUa,26.80,Buy
327,31.05.2020 13:28,ObmennikUa,26.80,Buy
328,31.05.2020 13:28,ObmennikUa,26.90,Sale
329,31.05.2020 13:28,ObmennikUa,26.80,Buy
330,31.05.2020 13:28,ObmennikUa,26.90,Sale
331,31.05.2020 13:28,ObmennikUa,29.40,Sale
332,31.05.2020 13:28,ObmennikUa,29.80,Buy
333,31.05.2020 13:28,ObmennikUa,29.40,Sale
334,31.05.2020 13:28,ObmennikUa,29.80,Buy
335,31.05.2020 13:29,ObmennikUa,26.80,Buy
336,31.05.2020 13:29,ObmennikUa,26.80,Buy
337,31.05.2020 13:29,ObmennikUa,26.80,Buy
338,31.05.2020 13:29,ObmennikUa,26.80,Buy
339,31.05.2020 13:29,ObmennikUa,26.80,Buy
340,31.05.2020 13:29,ObmennikUa,26.80,Buy
341,31.05.2020 13:29,ObmennikUa,26.80,Buy
342,31.05.2020 13:29,ObmennikUa,26.80,Buy
343,31.05.2020 13:29,ObmennikUa,26.80,Buy
344,31.05.2020 13:29,ObmennikUa,26.80,Buy
345,31.05.2020 13:29,ObmennikUa,26.80,Buy
346,31.05.2020 13:29,ObmennikUa,26.80,Buy
347,31.05.2020 13:29,ObmennikUa,26.80,Buy
348,31.05.2020 13:29,ObmennikUa,26.80,Buy
349,31.05.2020 13:29,ObmennikUa,26.80,Buy
350,31.05.2020 13:29,ObmennikUa,26.80,Buy
351,31.05.2020 13:29,ObmennikUa,26.80,Buy
352,31.05.2020 13:29,ObmennikUa,26.80,Buy
353,31.05.2020 13:29,ObmennikUa,26.90,Sale
354,31.05.2020 13:29,ObmennikUa,29.40,Sale
355,31.05.2020 13:29,ObmennikUa,29.80,Buy
356,31.05.2020 13:30,ObmennikUa,26.80,Buy
357,31.05.2020 13:30,ObmennikUa,26.80,Buy
358,31.05.2020 13:30,ObmennikUa,26.80,Buy
359,31.05.2020 13:30,ObmennikUa,26.80,Buy
360,31.05.2020 13:30,ObmennikUa,26.80,Buy
361,31.05.2020 13:30,ObmennikUa,26.80,Buy
362,31.05.2020 13:30,ObmennikUa,26.80,Buy
363,31.05.2020 13:30,ObmennikUa,26.80,Buy
364,31.05.2020 13:30,ObmennikUa,26.80,Buy
365,31.05.2020 13:30,ObmennikUa,26.80,Buy
366,31.05.2020 13:30,ObmennikUa,26.80,Buy
367,31.05.2020 13:30,ObmennikUa,26.80,Buy
368,31.05.2020 13:30,ObmennikUa,26.80,Buy
369,31.05.2020 13:30,ObmennikUa,26.80,Buy
370,31.05.2020 13:30,ObmennikUa,26.80,Buy
371,31.05.2020 13:30,ObmennikUa,26.80,Buy
372,31.05.2020 13:30,ObmennikUa,26.80,Buy
373,31.05.2020 13:30,ObmennikUa,26.80,Buy
374,31.05.2020 13:30,ObmennikUa,26.90,Sale
375,31.05.2020 13:30,ObmennikUa,29.40,Sale
376,31.05.2020 13:30,ObmennikUa,29.80,Buy
377,31.05.2020 13:31,ObmennikUa,26.80,Buy
378,31.05.2020 13:31,ObmennikUa,26.80,Buy
379,31.05.2020 13:31,ObmennikUa,26.80,Buy
380,31.05.2020 13:31,ObmennikUa,26.80,Buy
381,31.05.2020 13:31,ObmennikUa,26.80,Buy
382,31.05.2020 13:31,ObmennikUa,26.80,Buy
383,31.05.2020 13:31,ObmennikUa,26.80,Buy
384,31.05.2020 13:31,ObmennikUa,26.80,Buy
385,31.05.2020 13:31,ObmennikUa,26.80,Buy
386,31.05.2020 13:31,ObmennikUa,26.80,Buy
387,31.05.2020 13:31,ObmennikUa,26.80,Buy
388,31.05.2020 13:31,ObmennikUa,26.80,Buy
389,31.05.2020 13:31,ObmennikUa,26.80,Buy
390,31.05.2020 13:31,ObmennikUa,26.80,Buy
391,31.05.2020 13:31,ObmennikUa,26.80,Buy
392,31.05.2020 13:31,ObmennikUa,26.80,Buy
393,31.05.2020 13:31,ObmennikUa,26.80,Buy
394,31.05.2020 13:31,ObmennikUa,26.80,Buy
395,31.05.2020 13:31,ObmennikUa,26.90,Sale
396,31.05.2020 13:31,ObmennikUa,29.40,Sale
397,31.05.2020 13:31,ObmennikUa,29.80,Buy
398,31.05.2020 13:32,ObmennikUa,26.80,Buy
399,31.05.2020 13:32,ObmennikUa,26.80,Buy
400,31.05.2020 13:32,ObmennikUa,26.80,Buy
401,31.05.2020 13:32,ObmennikUa,26.80,Buy
402,31.05.2020 13:32,ObmennikUa,26.80,Buy
403,31.05.2020 13:32,ObmennikUa,26.80,Buy
404,31.05.2020 13:32,ObmennikUa,26.80,Buy
405,31.05.2020 13:32,ObmennikUa,26.80,Buy
406,31.05.2020 13:32,ObmennikUa,26.80,Buy
407,31.05.2020 13:32,ObmennikUa,26.80,Buy
408,31.05.2020 13:32,ObmennikUa,26.80,Buy
409,31.05.2020 13:32,ObmennikUa,26.80,Buy
410,31.05.2020 13:32,ObmennikUa,26.80,Buy
411,31.05.2020 13:32,ObmennikUa,26.80,Buy
412,31.05.2020 13:32,ObmennikUa,26.80,Buy
413,31.05.2020 13:32,ObmennikUa,26.80,Buy
414,31.05.2020 13:32,ObmennikUa,26.80,Buy
415,31.05.2020 13:32,ObmennikUa,26.80,Buy
416,31.05.2020 13:32,ObmennikUa,26.90,Sale
417,31.05.2020 13:32,ObmennikUa,29.40,Sale
418,31.05.2020 13:32,ObmennikUa,29.80,Buy
419,31.05.2020 13:33,ObmennikUa,26.80,Buy
420,31.05.2020 13:33,ObmennikUa,26.80,Buy
421,31.05.2020 13:33,ObmennikUa,26.80,Buy
422,31.05.2020 13:33,ObmennikUa,26.80,Buy
423,31.05.2020 13:33,ObmennikUa,26.80,Buy
424,31.05.2020 13:33,ObmennikUa,26.80,Buy
425,31.05.2020 13:33,ObmennikUa,26.80,Buy
426,31.05.2020 13:33,ObmennikUa,26.80,Buy
427,31.05.2020 13:33,ObmennikUa,26.80,Buy
428,31.05.2020 13:33,ObmennikUa,26.80,Buy
429,31.05.2020 13:33,ObmennikUa,26.80,Buy
430,31.05.2020 13:33,ObmennikUa,26.80,Buy
431,31.05.2020 13:33,ObmennikUa,26.80,Buy
432,31.05.2020 13:33,ObmennikUa,26.80,Buy
433,31.05.2020 13:33,ObmennikUa,26.80,Buy
434,31.05.2020 13:33,ObmennikUa,26.80,Buy
435,31.05.2020 13:33,ObmennikUa,26.80,Buy
436,31.05.2020 13:33,ObmennikUa,26.80,Buy
437,31.05.2020 13:33,ObmennikUa,26.90,Sale
